"Sanctioned Budget Additionality, Saving and Revised (full FY) with Expenditure FROM [ 01/04/2018 ] TO [ 31/03/2022 ]"
As Per Selected Query Demand and HOA Wise Summary [in Rupees]
DmdCd,HOA,"Sanction Budget
(April)",Addition,Saving,"Revised Budget
(A)","Expenditure
(within selected period) (B)","Balance
(A-B)"
,16-2406-01-001-02-S00N-03-N-V-TRAVEL EXPENSES,20016000.00,0.00,7188550.00,12827450.00,12967174.00,-139724.00
,16-2406-01-001-02-S00N-05-N-V-OFFICE EXPENSES,46200000.00,0.00,0.00,46200000.00,45657436.00,542564.00
,16-2406-01-001-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,38413000.00,0.00,14906078.00,23506922.00,23118213.00,388709.00
,"16-2406-01-001-02-S00N-07-N-V-RENT, RATES & TAXES",2085000.00,0.00,431843.00,1653157.00,1517623.00,135534.00
,16-2406-01-001-02-S00N-08-P-V-PUBLICATIONS,800000.00,0.00,0.00,800000.00,800000.00,0.00
,16-2406-01-001-02-S00N-09-P-V-ADVERTISING & PUBLICITY,900000.00,0.00,0.00,900000.00,900000.00,0.00
,16-2406-01-001-02-S00N-10-P-V-HOSPITALITY & ENT.EXPENSES,700000.00,0.00,350000.00,350000.00,349669.00,331.00
,16-2406-01-001-02-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,2128000.00,500000.00,0.00,2628000.00,2619800.00,8200.00
,16-2406-01-001-02-S00N-15-N-V-TRAINING,4300000.00,4650000.00,0.00,8950000.00,8950000.00,0.00
,16-2406-01-001-02-S00N-20-N-V-OTHER CHARGES,7501000.00,30500000.00,0.00,38001000.00,37676113.00,324887.00
,16-2406-01-001-02-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,5800000.00,47839.00,5753161.00,5753161.00,0.00
,16-2406-01-001-02-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),29580000.00,0.00,5174980.00,24405020.00,22280498.00,2124522.00
,16-2406-01-001-02-S00N-33-P-V-MATERIAL AND SUPPLY,10000000.00,0.00,5800000.00,4200000.00,4173393.00,26607.00
,16-2406-01-001-02-S00N-63-P-V-SUBSIDY,500000.00,0.00,440000.00,60000.00,15000.00,45000.00
,16-2406-01-001-02-S00N-64-N-V-TRANSFER EXPENSES,120000.00,0.00,0.00,120000.00,105460.00,14540.00
,16-2406-01-001-02-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,1000.00,1000000.00,1000.00,1000000.00,921808.00,78192.00
,16-2406-01-001-03-S00N-42-P-V-GRANTS-IN-AID GENERAL (Non-Salary),13500000.00,2500000.00,20300.00,15979700.00,11344200.00,4635500.00
,16-2406-01-001-03-S00N-44-P-V-GRANTS-IN-AID FOR CAPITAL ASSETS,2500000.00,1500000.00,0.00,4000000.00,3999833.00,167.00
,16-2406-01-070-01-S00N-11-P-V-FURNISHINGS,2500000.00,0.00,19500.00,2480500.00,2480058.00,442.00
,16-2406-01-070-01-S00N-21-P-V-MAINTENANCE,126000000.00,0.00,26612300.00,99387700.00,98710251.00,677449.00
,16-2406-01-101-01-S00N-20-P-V-OTHER CHARGES,2000000.00,0.00,2000000.00,0.00,0.00,0.00
,16-2406-01-101-01-S00N-33-P-V-MATERIAL AND SUPPLY,2560000.00,0.00,2504000.00,56000.00,56000.00,0.00
,16-2406-01-101-01-S00N-36-N-V-MINOR WORKS,10240000.00,0.00,10016000.00,224000.00,0.00,224000.00
,16-2406-01-101-02-S00N-36-N-V-MINOR WORKS,3973000.00,0.00,3973000.00,0.00,0.00,0.00
,16-2406-01-101-03-C90N-05-P-V-OFFICE EXPENSES,1000000.00,0.00,1000000.00,0.00,0.00,0.00
,16-2406-01-101-03-C90N-20-P-V-OTHER CHARGES,6000000.00,0.00,6000000.00,0.00,0.00,0.00
,16-2406-01-101-03-C90N-21-P-V-MAINTENANCE,1500000.00,0.00,1500000.00,0.00,0.00,0.00
,16-2406-01-101-03-C90N-30-P-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),100000.00,0.00,100000.00,0.00,0.00,0.00
,16-2406-01-101-03-C90N-31-P-V-MACHINERY & EQUIPMENT,1000000.00,0.00,1000000.00,0.00,0.00,0.00
,16-2406-01-101-03-C90N-33-P-V-MATERIAL AND SUPPLY,1600000.00,0.00,1600000.00,0.00,0.00,0.00
,16-2406-01-101-03-C90N-36-P-V-MINOR WORKS,15600000.00,0.00,15600000.00,0.00,0.00,0.00
,16-2406-01-101-03-S10N-20-N-V-OTHER CHARGES,3000000.00,0.00,3000000.00,0.00,0.00,0.00
,16-2406-01-101-04-S00N-08-P-V-PUBLICATIONS,500000.00,0.00,100000.00,400000.00,400000.00,0.00
,16-2406-01-101-04-S00N-33-P-V-MATERIAL AND SUPPLY,1400000.00,0.00,1180000.00,220000.00,220000.00,0.00
,16-2406-01-101-04-S00N-36-N-V-MINOR WORKS,5600000.00,0.00,4220000.00,1380000.00,1377000.00,3000.00
,16-2406-01-101-05-S00N-20-N-V-OTHER CHARGES,1000.00,0.00,1000.00,0.00,0.00,0.00
,16-2406-01-101-08-S00N-01-P-V-SALARIES,20000000.00,0.00,6400000.00,13600000.00,13213770.00,386230.00
,16-2406-01-101-08-S00N-03-P-V-TRAVEL EXPENSES,500000.00,0.00,0.00,500000.00,331385.00,168615.00
,16-2406-01-101-08-S00N-05-P-V-OFFICE EXPENSES,2000000.00,0.00,500000.00,1500000.00,1461312.00,38688.00
,16-2406-01-101-08-S00N-06-P-V-MEDICAL REIMBURSEMENT,500000.00,500000.00,0.00,1000000.00,601730.00,398270.00
,"16-2406-01-101-08-S00N-07-P-V-RENT, RATES & TAXES",2000000.00,0.00,1500000.00,500000.00,483094.00,16906.00
,16-2406-01-101-08-S00N-09-P-V-ADVERTISING & PUBLICITY,700000.00,0.00,0.00,700000.00,531767.00,168233.00
,16-2406-01-101-08-S00N-10-P-V-HOSPITALITY & ENT.EXPENSES,20000.00,0.00,0.00,20000.00,20000.00,0.00
,16-2406-01-101-08-S00N-11-P-V-FURNISHINGS,200000.00,0.00,0.00,200000.00,200000.00,0.00
,16-2406-01-101-08-S00N-12-P-V-PROFESSIONAL & SPECIAL SERVICE,500000.00,0.00,500000.00,0.00,0.00,0.00
,16-2406-01-101-08-S00N-20-P-V-OTHER CHARGES,70000000.00,0.00,0.00,70000000.00,40949554.00,29050446.00
,16-2406-01-101-08-S00N-21-P-V-MAINTENANCE,700000.00,0.00,300000.00,400000.00,400000.00,0.00
,16-2406-01-101-08-S00N-30-P-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),6000000.00,0.00,1200000.00,4800000.00,4776235.00,23765.00
,16-2406-01-101-08-S00N-33-P-V-MATERIAL AND SUPPLY,20000000.00,0.00,9148534.00,10851466.00,9048244.00,1803222.00
,16-2406-01-101-08-S00N-36-N-V-MINOR WORKS,15000000.00,0.00,15000000.00,0.00,0.00,0.00
,16-2406-01-101-08-S00N-42-P-V-GRANTS-IN-AID GENERAL (Non-Salary),273380000.00,58200000.00,0.00,331580000.00,331580000.00,0.00
,16-2406-01-101-10-S00N-41-P-V-GRANTS-IN-AID GENERAL (Salary),22500000.00,0.00,7500000.00,15000000.00,15000000.00,0.00
,16-2406-01-101-10-S00N-42-P-V-GRANTS-IN-AID GENERAL (Non-Salary),236100000.00,25000000.00,0.00,261100000.00,261100000.00,0.00
,16-2406-01-101-10-S00N-44-P-V-GRANTS-IN-AID FOR CAPITAL ASSETS,37500000.00,0.00,0.00,37500000.00,37500000.00,0.00
,16-2406-01-101-11-S00N-02-P-V-WAGES,700000.00,0.00,0.00,700000.00,75000.00,625000.00
,16-2406-01-101-11-S00N-20-P-V-OTHER CHARGES,2600000.00,0.00,0.00,2600000.00,2428989.00,171011.00
,16-2406-01-101-11-S00N-21-P-V-MAINTENANCE,500000.00,0.00,0.00,500000.00,445370.00,54630.00
,16-2406-01-101-11-S00N-30-P-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),500000.00,0.00,0.00,500000.00,452356.00,47644.00
,16-2406-01-101-11-S00N-31-P-V-MACHINERY & EQUIPMENT,2000000.00,0.00,0.00,2000000.00,1576318.00,423682.00
,16-2406-01-101-11-S00N-33-P-V-MATERIAL AND SUPPLY,2000000.00,0.00,0.00,2000000.00,1262000.00,738000.00
,16-2406-01-101-11-S00N-36-P-V-MINOR WORKS,5800000.00,0.00,0.00,5800000.00,5706320.00,93680.00
,16-2406-01-102-07-S00N-21-N-V-MAINTENANCE,49098000.00,0.00,408353.00,48689647.00,48250321.00,439326.00
,16-2406-01-102-34-C90N-20-P-V-OTHER CHARGES,29900000.00,0.00,29900000.00,0.00,0.00,0.00
,16-2406-01-102-34-S10N-20-P-V-OTHER CHARGES,3100000.00,0.00,3100000.00,0.00,0.00,0.00
,16-2406-01-102-35-C90N-05-P-V-OFFICE EXPENSES,300000.00,0.00,300000.00,0.00,0.00,0.00
,16-2406-01-102-35-C90N-20-P-V-OTHER CHARGES,600000.00,0.00,600000.00,0.00,0.00,0.00
,16-2406-01-102-35-C90N-21-P-V-MAINTENANCE,700000.00,0.00,700000.00,0.00,0.00,0.00
,16-2406-01-102-35-C90N-33-P-V-MATERIAL AND SUPPLY,1000000.00,0.00,1000000.00,0.00,0.00,0.00
,16-2406-01-102-35-C90N-36-P-V-MINOR WORKS,4000000.00,0.00,4000000.00,0.00,0.00,0.00
,16-2406-01-102-35-S10N-20-P-V-OTHER CHARGES,480000.00,0.00,480000.00,0.00,0.00,0.00
,16-2406-01-102-35-S10N-21-P-V-MAINTENANCE,100000.00,0.00,100000.00,0.00,0.00,0.00
,16-2406-01-102-35-S10N-33-P-V-MATERIAL AND SUPPLY,120000.00,0.00,120000.00,0.00,0.00,0.00
,16-2406-01-102-36-S20N-33-P-V-MATERIAL AND SUPPLY,100000.00,0.00,100000.00,0.00,0.00,0.00
,16-2406-01-102-36-S20N-36-N-V-MINOR WORKS,400000.00,0.00,400000.00,0.00,0.00,0.00
,16-2406-01-102-37-S00N-01-P-V-SALARIES,100000000.00,0.00,14890700.00,85109300.00,76608559.00,8500741.00
,16-2406-01-102-37-S00N-02-P-V-WAGES,1000000.00,0.00,710600.00,289400.00,289358.00,42.00
,16-2406-01-102-37-S00N-03-P-V-TRAVEL EXPENSES,1800000.00,1060000.00,0.00,2860000.00,2590318.00,269682.00
,16-2406-01-102-37-S00N-05-P-V-OFFICE EXPENSES,5480000.00,17520000.00,7701600.00,15298400.00,11644457.00,3653943.00
,16-2406-01-102-37-S00N-06-P-V-MEDICAL REIMBURSEMENT,2000000.00,0.00,1256300.00,743700.00,638302.00,105398.00
,"16-2406-01-102-37-S00N-07-P-V-RENT, RATES & TAXES",700000.00,2146000.00,0.00,2846000.00,2645449.00,200551.00
,16-2406-01-102-37-S00N-09-P-V-ADVERTISING & PUBLICITY,1000000.00,0.00,448700.00,551300.00,511535.00,39765.00
,16-2406-01-102-37-S00N-10-P-V-HOSPITALITY & ENT.EXPENSES,20000.00,0.00,0.00,20000.00,20000.00,0.00
,16-2406-01-102-37-S00N-11-P-V-FURNISHINGS,500000.00,400000.00,0.00,900000.00,749786.00,150214.00
,16-2406-01-102-37-S00N-12-P-V-PROFESSIONAL & SPECIAL SERVICE,25000000.00,0.00,20648000.00,4352000.00,3607035.00,744965.00
,16-2406-01-102-37-S00N-20-P-V-OTHER CHARGES,100000000.00,0.00,0.00,100000000.00,99665368.00,334632.00
,16-2406-01-102-37-S00N-21-P-V-MAINTENANCE,4000000.00,6965000.00,0.00,10965000.00,10726138.00,238862.00
,16-2406-01-102-37-S00N-27-P-V-MOTOR VEHICLES (Purchase),980000.00,0.00,0.00,980000.00,979900.00,100.00
,16-2406-01-102-37-S00N-30-P-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),8500000.00,5100000.00,0.00,13600000.00,12189121.00,1410879.00
,16-2406-01-102-37-S00N-33-P-V-MATERIAL AND SUPPLY,38500000.00,10000000.00,0.00,48500000.00,39154705.00,9345295.00
,16-2406-01-102-37-S00N-36-P-V-MINOR WORKS,66000000.00,263434900.00,0.00,329434900.00,327770183.00,1664717.00
,16-2406-01-102-37-S00N-42-P-V-GRANTS-IN-AID GENERAL (Non-Salary),1000000.00,0.00,1000000.00,0.00,0.00,0.00
,16-2406-01-102-37-S00N-64-P-V-TRANSFER EXPENSES,20000.00,30000.00,0.00,50000.00,45256.00,4744.00
,16-2406-01-102-37-S00N-65-P-V-REMUNERATION TO OUTSOURCE EMPLOYEES,55000000.00,0.00,10000000.00,45000000.00,44848524.00,151476.00
,16-2406-01-102-39-S00N-20-P-V-OTHER CHARGES,2000000.00,0.00,1490000.00,510000.00,509375.00,625.00
,16-2406-01-102-39-S00N-21-P-V-MAINTENANCE,1200000.00,0.00,397639.00,802361.00,802361.00,0.00
,16-2406-01-102-39-S00N-33-P-V-MATERIAL AND SUPPLY,2100000.00,0.00,213442.00,1886558.00,1428244.00,458314.00
,16-2406-01-102-39-S00N-36-P-V-MINOR WORKS,38100000.00,0.00,4914831.00,33185169.00,30193270.00,2991899.00
,16-2406-01-102-39-S00N-99-P-V-HONORARIUM,700000.00,0.00,700000.00,0.00,0.00,0.00
,16-2406-01-102-40-S00N-20-N-V-OTHER CHARGES,4000000.00,0.00,900000.00,3100000.00,3099700.00,300.00
,16-2406-01-102-40-S00N-21-P-V-MAINTENANCE,700000.00,0.00,700000.00,0.00,0.00,0.00
,16-2406-01-102-40-S00N-33-N-V-MATERIAL AND SUPPLY,3840000.00,0.00,1526424.00,2313576.00,2174820.00,138756.00
,16-2406-01-102-40-S00N-36-P-V-MINOR WORKS,13860000.00,0.00,209089.00,13650911.00,13650911.00,0.00
,16-2406-01-102-42-C90N-20-P-V-OTHER CHARGES,112400000.00,0.00,0.00,112400000.00,112400000.00,0.00
,16-2406-01-102-42-S10N-20-P-V-OTHER CHARGES,12500000.00,0.00,0.00,12500000.00,12500000.00,0.00
,16-2406-01-102-43-S00N-20-N-V-OTHER CHARGES,2400000.00,0.00,1800.00,2398200.00,2145500.00,252700.00
,16-2406-01-102-43-S00N-21-N-V-MAINTENANCE,13900000.00,0.00,12162811.00,1737189.00,1732850.00,4339.00
,16-2406-01-102-43-S00N-33-N-V-MATERIAL AND SUPPLY,53900000.00,0.00,1316275.00,52583725.00,51702647.00,881078.00
,16-2406-01-102-43-S00N-36-N-V-MINOR WORKS,215600000.00,0.00,3951041.00,211648959.00,209916857.00,1732102.00
,16-2406-01-102-44-S00N-20-N-V-OTHER CHARGES,1000000.00,0.00,553952.00,446048.00,391269.00,54779.00
,16-2406-01-102-44-S00N-21-N-V-MAINTENANCE,1000000.00,0.00,553945.00,446055.00,380855.00,65200.00
,16-2406-01-102-44-S00N-33-N-V-MATERIAL AND SUPPLY,35000000.00,0.00,8752430.00,26247570.00,22819728.00,3427842.00
,16-2406-01-102-44-S00N-36-N-V-MINOR WORKS,54500000.00,0.00,27247151.00,27252849.00,24404421.00,2848428.00
,16-2406-01-102-44-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),10000000.00,0.00,10000000.00,0.00,0.00,0.00
,16-2406-01-102-44-S00N-63-N-V-SUBSIDY,3500000.00,0.00,3500000.00,0.00,0.00,0.00
,16-2406-01-105-01-S00N-20-N-V-OTHER CHARGES,400000.00,0.00,0.00,400000.00,400000.00,0.00
,16-2406-01-105-01-S00N-36-N-V-MINOR WORKS,6536000.00,0.00,0.00,6536000.00,6337484.00,198516.00
,16-2406-01-105-02-S00N-20-N-V-OTHER CHARGES,1000.00,0.00,1000.00,0.00,0.00,0.00
,16-2406-01-105-02-S00N-36-N-V-MINOR WORKS,2247000.00,0.00,1410200.00,836800.00,735410.00,101390.00
,16-2406-01-105-03-S00N-36-N-V-MINOR WORKS,3253000.00,0.00,3000.00,3250000.00,250000.00,3000000.00
,16-2406-01-105-05-S00N-05-P-V-OFFICE EXPENSES,300000.00,0.00,0.00,300000.00,300000.00,0.00
,"16-2406-01-105-05-S00N-07-P-V-RENT, RATES & TAXES",200000.00,0.00,0.00,200000.00,0.00,200000.00
,16-2406-01-105-05-S00N-33-P-V-MATERIAL AND SUPPLY,1500000.00,0.00,0.00,1500000.00,1500000.00,0.00
,16-2406-01-105-05-S00N-36-N-V-MINOR WORKS,500000.00,0.00,0.00,500000.00,500000.00,0.00
,16-2406-01-105-07-S00N-20-P-V-OTHER CHARGES,1000000.00,0.00,1000000.00,0.00,0.00,0.00
,16-2406-01-105-07-S00N-21-P-V-MAINTENANCE,100000.00,0.00,100000.00,0.00,0.00,0.00
,16-2406-01-105-07-S00N-33-P-V-MATERIAL AND SUPPLY,100000.00,0.00,100000.00,0.00,0.00,0.00
,16-2406-01-105-07-S00N-63-P-V-SUBSIDY,17500000.00,0.00,16627500.00,872500.00,872500.00,0.00
,16-2406-01-800-02-S00N-20-P-V-OTHER CHARGES,2500000.00,0.00,2500000.00,0.00,0.00,0.00
,16-2406-01-800-02-S00N-33-P-V-MATERIAL AND SUPPLY,1700000.00,0.00,1700000.00,0.00,0.00,0.00
,16-2406-01-800-02-S00N-36-N-V-MINOR WORKS,800000.00,0.00,800000.00,0.00,0.00,0.00
,16-2406-02-110-01-S00N-01-N-V-SALARIES,90300000.00,0.00,0.00,90300000.00,93604674.00,-3304674.00
,16-2406-02-110-01-S00N-02-N-V-WAGES,535000.00,0.00,0.00,535000.00,523950.00,11050.00
,16-2406-02-110-01-S00N-03-N-V-TRAVEL EXPENSES,850000.00,0.00,0.00,850000.00,551983.00,298017.00
,16-2406-02-110-01-S00N-05-N-V-OFFICE EXPENSES,2500000.00,0.00,0.00,2500000.00,2460286.00,39714.00
,16-2406-02-110-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,1300000.00,0.00,40176.00,1259824.00,975369.00,284455.00
,16-2406-02-110-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,50000.00,0.00,0.00,50000.00,0.00,50000.00
,16-2406-02-110-01-S00N-20-N-V-OTHER CHARGES,1000000.00,0.00,35500.00,964500.00,865482.00,99018.00
,16-2406-02-110-01-S00N-21-P-V-MAINTENANCE,2000000.00,0.00,0.00,2000000.00,1899907.00,100093.00
,16-2406-02-110-01-S00N-29-P-V-COMPENSATIONS,16000000.00,0.00,490000.00,15510000.00,13059157.00,2450843.00
,16-2406-02-110-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),3000000.00,0.00,100000.00,2900000.00,2283880.00,616120.00
,16-2406-02-110-01-S00N-31-N-V-MACHINERY & EQUIPMENT,50000.00,0.00,0.00,50000.00,17915.00,32085.00
,16-2406-02-110-01-S00N-33-N-V-MATERIAL AND SUPPLY,1500000.00,0.00,0.00,1500000.00,799059.00,700941.00
,16-2406-02-110-01-S00N-36-N-V-MINOR WORKS,12500000.00,0.00,0.00,12500000.00,10964450.00,1535550.00
,16-2406-02-110-01-S00N-64-N-V-TRANSFER EXPENSES,15000.00,0.00,0.00,15000.00,5705.00,9295.00
,16-2406-02-110-10-C90N-02-P-V-WAGES,500000.00,0.00,500000.00,0.00,0.00,0.00
,16-2406-02-110-10-C90N-05-P-V-OFFICE EXPENSES,1000000.00,0.00,550000.00,450000.00,450000.00,0.00
,16-2406-02-110-10-C90N-11-P-V-FURNISHINGS,100000.00,0.00,100000.00,0.00,0.00,0.00
,16-2406-02-110-10-C90N-20-P-V-OTHER CHARGES,9000000.00,0.00,6300000.00,2700000.00,2700000.00,0.00
,16-2406-02-110-10-C90N-21-P-V-MAINTENANCE,1700000.00,0.00,1250000.00,450000.00,450000.00,0.00
,16-2406-02-110-10-C90N-30-P-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),500000.00,0.00,414297.00,85703.00,85703.00,0.00
,16-2406-02-110-10-C90N-31-P-V-MACHINERY & EQUIPMENT,700000.00,0.00,700000.00,0.00,0.00,0.00
,16-2406-02-110-10-C90N-33-P-V-MATERIAL AND SUPPLY,2000000.00,0.00,1370000.00,630000.00,630000.00,0.00
,16-2406-02-110-10-C90N-36-P-V-MINOR WORKS,4500000.00,0.00,3870000.00,630000.00,630000.00,0.00
,16-2406-02-110-10-S10N-20-P-V-OTHER CHARGES,1000000.00,0.00,500000.00,500000.00,500000.00,0.00
,16-2406-02-110-10-S10N-21-P-V-MAINTENANCE,400000.00,0.00,400000.00,0.00,0.00,0.00
,16-2406-02-110-10-S10N-33-P-V-MATERIAL AND SUPPLY,300000.00,0.00,300000.00,0.00,0.00,0.00
,16-2406-02-110-10-S10N-36-P-V-MINOR WORKS,300000.00,0.00,250477.00,49523.00,49523.00,0.00
,16-2406-02-111-01-S00N-01-N-V-SALARIES,21050000.00,0.00,0.00,21050000.00,18052111.00,2997889.00
,16-2406-02-111-01-S00N-02-N-V-WAGES,400000.00,0.00,0.00,400000.00,297075.00,102925.00
,16-2406-02-111-01-S00N-03-N-V-TRAVEL EXPENSES,250000.00,0.00,0.00,250000.00,144601.00,105399.00
,16-2406-02-111-01-S00N-05-N-V-OFFICE EXPENSES,2000000.00,0.00,0.00,2000000.00,1999602.00,398.00
,16-2406-02-111-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,500000.00,0.00,0.00,500000.00,343193.00,156807.00
,16-2406-02-111-01-S00N-20-P-V-OTHER CHARGES,500000.00,0.00,0.00,500000.00,499600.00,400.00
,16-2406-02-111-01-S00N-21-P-V-MAINTENANCE,3300000.00,0.00,0.00,3300000.00,660000.00,2640000.00
,16-2406-02-111-01-S00N-30-P-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),1900000.00,0.00,0.00,1900000.00,756104.00,1143896.00
,16-2406-02-111-01-S00N-31-P-V-MACHINERY & EQUIPMENT,1100000.00,0.00,0.00,1100000.00,903410.00,196590.00
,16-2406-02-111-01-S00N-33-P-V-MATERIAL AND SUPPLY,5500000.00,0.00,0.00,5500000.00,5199574.00,300426.00
,16-2406-02-111-01-S00N-36-N-V-MINOR WORKS,9600000.00,0.00,0.00,9600000.00,6095156.00,3504844.00
,16-2406-02-111-02-S00N-42-P-V-GRANTS-IN-AID GENERAL (Non-Salary),13700000.00,0.00,0.00,13700000.00,13700000.00,0.00
,16-2406-04-103-01-S00N-20-N-V-OTHER CHARGES,88640000.00,0.00,84852303.00,3787697.00,3787697.00,0.00
,16-2406-04-103-01-S00N-21-N-V-MAINTENANCE,59200000.00,0.00,1220013.00,57979987.00,57294491.00,685496.00
,16-2406-04-103-01-S00N-33-N-V-MATERIAL AND SUPPLY,22160000.00,0.00,1452089.00,20707911.00,20105857.00,602054.00
,16-2406-04-103-01-S00N-36-N-V-MINOR WORKS,0.00,84852300.00,0.00,84852300.00,82268151.00,2584149.00
,16-2406-04-103-02-S00N-20-N-V-OTHER CHARGES,232000000.00,0.00,208458600.00,23541400.00,18952627.00,4588773.00
,16-2406-04-103-02-S00N-21-N-V-MAINTENANCE,10000000.00,0.00,19760.00,9980240.00,9920658.00,59582.00
,16-2406-04-103-02-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),0.00,2675000.00,0.00,2675000.00,1495500.00,1179500.00
,16-2406-04-103-02-S00N-33-N-V-MATERIAL AND SUPPLY,8000000.00,0.00,200.00,7999800.00,7292614.00,707186.00
,16-2406-04-103-02-S00N-36-N-V-MINOR WORKS,0.00,205664000.00,0.00,205664000.00,116009259.00,89654741.00
,16-2406-04-103-03-S00N-05-N-V-OFFICE EXPENSES,0.00,1000000.00,0.00,1000000.00,969501.00,30499.00
,16-2406-04-103-03-S00N-20-N-V-OTHER CHARGES,163000000.00,0.00,157000000.00,6000000.00,5942983.00,57017.00
,16-2406-04-103-03-S00N-21-N-V-MAINTENANCE,5000000.00,0.00,0.00,5000000.00,4285395.00,714605.00
,16-2406-04-103-03-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),0.00,1000000.00,0.00,1000000.00,762659.00,237341.00
,16-2406-04-103-03-S00N-33-N-V-MATERIAL AND SUPPLY,0.00,25000000.00,0.00,25000000.00,17126405.00,7873595.00
,16-2406-04-103-03-S00N-36-N-V-MINOR WORKS,0.00,130000000.00,0.00,130000000.00,91896636.00,38103364.00
,16-2406-04-103-04-S00N-09-N-V-ADVERTISING & PUBLICITY,0.00,5000000.00,3240000.00,1760000.00,1658933.00,101067.00
,16-2406-04-103-04-S00N-20-N-V-OTHER CHARGES,492900000.00,60000000.00,454063274.00,98836726.00,61551986.00,37284740.00
,16-2406-04-103-04-S00N-21-N-V-MAINTENANCE,9000000.00,0.00,121300.00,8878700.00,8161679.00,717021.00
,16-2406-04-103-04-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),0.00,6000000.00,2040300.00,3959700.00,2812023.00,1147677.00
,16-2406-04-103-04-S00N-31-N-V-MACHINERY & EQUIPMENT,0.00,4000000.00,0.00,4000000.00,3401571.00,598429.00
,16-2406-04-103-04-S00N-33-N-V-MATERIAL AND SUPPLY,10000000.00,55800000.00,8349334.00,57450666.00,42626947.00,14823719.00
,16-2406-04-103-04-S00N-36-N-V-MINOR WORKS,0.00,561311000.00,0.00,561311000.00,381537650.00,179773350.00
,16-2406-04-103-05-S00N-05-N-V-OFFICE EXPENSES,2000000.00,0.00,0.00,2000000.00,1220316.00,779684.00
,16-2406-04-103-05-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,0.00,500000.00,0.00,500000.00,169255.00,330745.00
,16-2406-04-103-05-S00N-20-N-V-OTHER CHARGES,16500000.00,0.00,4500000.00,12000000.00,4082362.00,7917638.00
,16-2406-04-103-05-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),1500000.00,0.00,0.00,1500000.00,976832.00,523168.00
,16-2406-04-103-05-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,0.00,3000000.00,0.00,3000000.00,1364486.00,1635514.00
,16-2406-04-103-06-S00N-20-N-V-OTHER CHARGES,50000.00,0.00,50000.00,0.00,0.00,0.00
,16-2406-04-103-06-S00N-21-N-V-MAINTENANCE,40000.00,0.00,0.00,40000.00,40000.00,0.00
,16-2406-04-103-06-S00N-33-N-V-MATERIAL AND SUPPLY,10000.00,0.00,7000.00,3000.00,3000.00,0.00
,16-2406-04-904-01-S00N-20-N-V-OTHER CHARGES,1120000000.00,261000000.00,0.00,1381000000.00,0.00,1381000000.00
,16-2415-06-004-03-S00N-02-P-V-WAGES,325000.00,0.00,0.00,325000.00,325000.00,0.00
,16-2415-06-004-03-S00N-20-P-V-OTHER CHARGES,325000.00,0.00,0.00,325000.00,325000.00,0.00
,16-2415-06-004-03-S00N-33-P-V-MATERIAL AND SUPPLY,100000.00,0.00,0.00,100000.00,100000.00,0.00
,16-2415-06-004-03-S00N-36-P-V-MINOR WORKS,150000.00,0.00,0.00,150000.00,150000.00,0.00
,16-2415-06-004-03-S00N-42-P-V-GRANTS-IN-AID GENERAL (Non-Salary),0.00,910000.00,0.00,910000.00,910000.00,0.00
,16-4216-01-700-10-S00N-37-P-V-MAJOR WORKS,35000000.00,0.00,550140.00,34449860.00,33034296.00,1415564.00
,16-4406-01-070-01-S00N-37-P-V-MAJOR WORKS,15000000.00,2550000.00,0.00,17550000.00,14703799.00,2846201.00
,16-4406-01-070-02-S00N-37-P-V-MAJOR WORKS,61000000.00,0.00,2194800.00,58805200.00,53194425.00,5610775.00
,16-4406-02-110-03-S00N-37-P-V-MAJOR WORKS,1000000.00,1500000.00,0.00,2500000.00,499974.00,2000026.00
,16-4406-02-111-01-S00N-37-P-V-MAJOR WORKS,1000000.00,0.00,0.00,1000000.00,1000000.00,0.00
